Key,Value
ExifTool Version Number,12.87
File Name,karsten-winegeart-OhZ554CPVZ8-unsplash.jpg
Directory,C:/Users/Joel-Nayde/Documents/Joel/Ciberseguridad/image_analysis_project/images
File Size,3.5 MB
Zone Identifier,Exists
File Modification Date/Time,2024:08:15 21:19:24-05:00
File Access Date/Time,2024:08:15 21:20:05-05:00
File Creation Date/Time,2024:08:15 21:19:24-05:00
File Permissions,-rw-rw-rw-
File Type,JPEG
File Type Extension,jpg
MIME Type,image/jpeg
JFIF Version,1.02
Resolution Unit,inches
X Resolution,72
Y Resolution,72
Profile CMM Type,Linotronic
Profile Version,2.1.0
Profile Class,Display Device Profile
Color Space Data,RGB
Profile Connection Space,XYZ
Profile Date Time,1998:02:09 06:49:00
Profile File Signature,acsp
Primary Platform,Microsoft Corporation
CMM Flags,"Not Embedded, Independent"
Device Manufacturer,Hewlett-Packard
Device Model,sRGB
Device Attributes,"Reflective, Glossy, Positive, Color"
Rendering Intent,Perceptual
Connection Space Illuminant,0.9642 1 0.82491
Profile Creator,Hewlett-Packard
Profile ID,0
Profile Copyright,Copyright (c) 1998 Hewlett-Packard Company
Profile Description,sRGB IEC61966-2.1
Media White Point,0.95045 1 1.08905
Media Black Point,0 0 0
Red Matrix Column,0.43607 0.22249 0.01392
Green Matrix Column,0.38515 0.71687 0.09708
Blue Matrix Column,0.14307 0.06061 0.7141
Device Mfg Desc,IEC http://www.iec.ch
Device Model Desc,IEC 61966-2.1 Default RGB colour space - sRGB
Viewing Cond Desc,Reference Viewing Condition in IEC61966-2.1
Viewing Cond Illuminant,19.6445 20.3718 16.8089
Viewing Cond Surround,3.92889 4.07439 3.36179
Viewing Cond Illuminant Type,D50
Luminance,76.03647 80 87.12462
Measurement Observer,CIE 1931
Measurement Backing,0 0 0
Measurement Geometry,Unknown
Measurement Flare,0.999%
Measurement Illuminant,D65
Technology,Cathode Ray Tube Display
Red Tone Reproduction Curve,"(Binary data 2060 bytes, use -b option to extract)"
Green Tone Reproduction Curve,"(Binary data 2060 bytes, use -b option to extract)"
Blue Tone Reproduction Curve,"(Binary data 2060 bytes, use -b option to extract)"
Image Width,2714
Image Height,4063
Encoding Process,"Progressive DCT, Huffman coding"
Bits Per Sample,8
Color Components,3
Y Cb Cr Sub Sampling,YCbCr4:2:0 (2 2)
Image Size,2714x4063
Megapixels,11.0
ExifTool Version Number,12.87
File Name,neom-FuusC7lfg6Q.jpg
Directory,C:/Users/Joel-Nayde/Documents/Joel/Ciberseguridad/image_analysis_project/images
File Size,9.3 MB
Zone Identifier,Exists
File Modification Date/Time,2024:08:15 21:19:01-05:00
File Access Date/Time,2024:08:15 21:20:06-05:00
File Creation Date/Time,2024:08:15 21:19:00-05:00
File Permissions,-rw-rw-rw-
File Type,JPEG
File Type Extension,jpg
MIME Type,image/jpeg
JFIF Version,1.02
Resolution Unit,inches
X Resolution,72
Y Resolution,72
Profile CMM Type,Linotronic
Profile Version,2.1.0
Profile Class,Display Device Profile
Color Space Data,RGB
Profile Connection Space,XYZ
Profile Date Time,1998:02:09 06:49:00
Profile File Signature,acsp
Primary Platform,Microsoft Corporation
CMM Flags,"Not Embedded, Independent"
Device Manufacturer,Hewlett-Packard
Device Model,sRGB
Device Attributes,"Reflective, Glossy, Positive, Color"
Rendering Intent,Perceptual
Connection Space Illuminant,0.9642 1 0.82491
Profile Creator,Hewlett-Packard
Profile ID,0
Profile Copyright,Copyright (c) 1998 Hewlett-Packard Company
Profile Description,sRGB IEC61966-2.1
Media White Point,0.95045 1 1.08905
Media Black Point,0 0 0
Red Matrix Column,0.43607 0.22249 0.01392
Green Matrix Column,0.38515 0.71687 0.09708
Blue Matrix Column,0.14307 0.06061 0.7141
Device Mfg Desc,IEC http://www.iec.ch
Device Model Desc,IEC 61966-2.1 Default RGB colour space - sRGB
Viewing Cond Desc,Reference Viewing Condition in IEC61966-2.1
Viewing Cond Illuminant,19.6445 20.3718 16.8089
Viewing Cond Surround,3.92889 4.07439 3.36179
Viewing Cond Illuminant Type,D50
Luminance,76.03647 80 87.12462
Measurement Observer,CIE 1931
Measurement Backing,0 0 0
Measurement Geometry,Unknown
Measurement Flare,0.999%
Measurement Illuminant,D65
Technology,Cathode Ray Tube Display
Red Tone Reproduction Curve,"(Binary data 2060 bytes, use -b option to extract)"
Green Tone Reproduction Curve,"(Binary data 2060 bytes, use -b option to extract)"
Blue Tone Reproduction Curve,"(Binary data 2060 bytes, use -b option to extract)"
Image Width,8192
Image Height,5464
Encoding Process,"Progressive DCT, Huffman coding"
Bits Per Sample,8
Color Components,3
Y Cb Cr Sub Sampling,YCbCr4:2:0 (2 2)
Image Size,8192x5464
Megapixels,44.8
ExifTool Version Number,12.87
File Name,neom-va.jpg
Directory,C:/Users/Joel-Nayde/Documents/Joel/Ciberseguridad/image_analysis_project/images
File Size,4.3 MB
Zone Identifier,Exists
File Modification Date/Time,2024:08:15 21:18:07-05:00
File Access Date/Time,2024:08:15 21:20:07-05:00
File Creation Date/Time,2024:08:15 21:18:07-05:00
File Permissions,-rw-rw-rw-
File Type,JPEG
File Type Extension,jpg
MIME Type,image/jpeg
JFIF Version,1.02
Resolution Unit,inches
X Resolution,72
